model_name,true_class_id,true_class_name,predicted_class_id,predicted_class_name,total_confusion_count,mean_confusion_count,std_confusion_count,seeds_observed
logistic_regression,5,SEKER,0,BARBUNYA,90,9.0,0.0,10
logistic_regression,5,SEKER,6,SIRA,90,9.0,0.0,10
decision_tree,5,SEKER,6,SIRA,86,8.6,0.8432740427115681,10
mlp,5,SEKER,6,SIRA,84,8.4,1.955050439815357,10
mlp,6,SIRA,4,HOROZ,83,8.3,1.8885620632287068,10
logistic_regression,2,CALI,0,BARBUNYA,80,8.0,0.0,10
logistic_regression,6,SIRA,4,HOROZ,80,8.0,0.0,10
mlp,6,SIRA,5,SEKER,78,7.8,0.6324555320336759,10
random_forest,5,SEKER,6,SIRA,78,7.8,0.7888106377466162,10
random_forest,4,HOROZ,6,SIRA,75,7.5,0.7071067811865476,10
logistic_regression,0,BARBUNYA,6,SIRA,70,7.0,0.0,10
decision_tree,2,CALI,4,HOROZ,70,7.0,1.1547005383792515,10
mlp,4,HOROZ,2,CALI,70,7.0,1.0540925533894594,10
random_forest,6,SIRA,4,HOROZ,70,7.0,0.8164965809277259,10
random_forest,0,BARBUNYA,6,SIRA,67,6.7,0.6749485577105528,10
decision_tree,4,HOROZ,6,SIRA,67,6.7,1.4181364924121764,10
mlp,5,SEKER,0,BARBUNYA,59,5.9,1.1005049346146119,10
random_forest,5,SEKER,3,DERMASON,59,5.9,0.316227766016838,10
mlp,0,BARBUNYA,6,SIRA,57,5.7,1.2516655570345727,10
decision_tree,0,BARBUNYA,6,SIRA,53,5.3,1.0593499054713802,10
mlp,5,SEKER,3,DERMASON,53,5.3,0.4830458915396479,10
mlp,2,CALI,4,HOROZ,52,5.2,0.4216370213557843,10
logistic_regression,4,HOROZ,3,DERMASON,50,5.0,0.0,10
decision_tree,5,SEKER,0,BARBUNYA,50,5.0,0.8164965809277259,10
logistic_regression,2,CALI,4,HOROZ,50,5.0,0.0,10
random_forest,2,CALI,4,HOROZ,50,5.0,0.0,10
logistic_regression,5,SEKER,3,DERMASON,50,5.0,0.0,10
decision_tree,4,HOROZ,3,DERMASON,48,4.8,0.7888106377466158,10
mlp,4,HOROZ,3,DERMASON,47,4.7,0.4830458915396479,10
decision_tree,6,SIRA,0,BARBUNYA,47,4.7,0.8232726023485647,10
mlp,4,HOROZ,6,SIRA,47,4.7,1.1595018087284057,10
logistic_regression,0,BARBUNYA,5,SEKER,40,4.0,0.0,10
decision_tree,4,HOROZ,0,BARBUNYA,40,4.0,0.666666666666667,10
random_forest,6,SIRA,0,BARBUNYA,40,4.0,0.0,10
random_forest,5,SEKER,0,BARBUNYA,40,4.0,0.0,10
logistic_regression,2,CALI,6,SIRA,40,4.0,0.0,10
logistic_regression,4,HOROZ,6,SIRA,40,4.0,0.0,10
mlp,0,BARBUNYA,5,SEKER,38,3.8,0.42163702135578385,10
decision_tree,6,SIRA,2,CALI,38,3.8,0.6324555320336759,10
random_forest,4,HOROZ,3,DERMASON,37,3.7,0.4830458915396479,10
mlp,6,SIRA,0,BARBUNYA,36,3.6,0.5163977794943222,10
decision_tree,0,BARBUNYA,5,SEKER,36,3.6,0.8432740427115678,10
random_forest,2,CALI,6,SIRA,32,3.2,0.42163702135578385,10
random_forest,0,BARBUNYA,5,SEKER,30,3.0,0.0,10
decision_tree,2,CALI,6,SIRA,30,3.0,0.0,10
mlp,2,CALI,6,SIRA,23,2.3,0.674948557710553,10
logistic_regression,2,CALI,5,SEKER,20,2.0,0.0,10
mlp,2,CALI,5,SEKER,20,2.0,0.0,10
random_forest,2,CALI,5,SEKER,20,2.0,0.0,10
decision_tree,2,CALI,5,SEKER,11,1.1,0.31622776601683794,10
mlp,6,SIRA,2,CALI,11,1.2222222222222223,0.4409585518440984,9
mlp,4,HOROZ,0,BARBUNYA,11,1.2222222222222223,0.4409585518440984,9
random_forest,0,BARBUNYA,4,HOROZ,10,1.0,0.0,10
decision_tree,3,DERMASON,4,HOROZ,10,1.6666666666666667,0.816496580927726,6
decision_tree,0,BARBUNYA,3,DERMASON,10,1.0,0.0,10
random_forest,4,HOROZ,0,BARBUNYA,10,1.0,0.0,10
logistic_regression,4,HOROZ,0,BARBUNYA,10,1.0,0.0,10
logistic_regression,6,SIRA,0,BARBUNYA,10,1.0,0.0,10
logistic_regression,6,SIRA,2,CALI,10,1.0,0.0,10
decision_tree,5,SEKER,2,CALI,6,1.0,0.0,6
