seed,model_name,class_name,precision,recall,f1_score,support
2,logistic_regression,DERMASON,0.9265129682997119,0.9069111424541608,0.9166072701354241,709.0
2,logistic_regression,HOROZ,0.9642857142857143,0.9435483870967742,0.9538043478260869,372.0
2,logistic_regression,SEKER,0.9296116504854369,0.9433497536945813,0.9364303178484108,406.0
2,logistic_regression,SIRA,0.858195211786372,0.8842504743833017,0.8710280373831776,527.0
2,mlp,BARBUNYA,0.9227799227799228,0.9018867924528302,0.9122137404580153,265.0
2,mlp,BOMBAY,1.0,1.0,1.0,104.0
2,mlp,CALI,0.9219219219219219,0.941717791411043,0.9317147192716236,326.0
2,mlp,DERMASON,0.9317851959361393,0.9055007052186178,0.9184549356223176,709.0
2,mlp,HOROZ,0.9619565217391305,0.9516129032258065,0.9567567567567568,372.0
2,mlp,SEKER,0.9394673123486683,0.9556650246305419,0.9474969474969475,406.0
2,mlp,SIRA,0.8655616942909761,0.8918406072106262,0.8785046728971962,527.0
2,random_forest,BARBUNYA,0.9215686274509803,0.8867924528301887,0.9038461538461539,265.0
2,random_forest,BOMBAY,1.0,1.0,1.0,104.0
2,random_forest,CALI,0.9159159159159159,0.9355828220858896,0.9256449165402124,326.0
2,random_forest,DERMASON,0.9098474341192788,0.92524682651622,0.9174825174825175,709.0
2,random_forest,HOROZ,0.9668508287292817,0.9408602150537635,0.9536784741144414,372.0
2,random_forest,SEKER,0.9350961538461539,0.958128078817734,0.9464720194647201,406.0
2,random_forest,SIRA,0.8706563706563707,0.855787476280835,0.8631578947368421,527.0
3,decision_tree,BARBUNYA,0.8884758364312267,0.9018867924528302,0.8951310861423221,265.0
3,decision_tree,BOMBAY,1.0,1.0,1.0,104.0
3,decision_tree,CALI,0.9063444108761329,0.9202453987730062,0.91324200913242,326.0
3,decision_tree,DERMASON,0.8862359550561798,0.8899858956276445,0.8881069669247009,709.0
3,decision_tree,HOROZ,0.9505494505494505,0.9301075268817204,0.9402173913043478,372.0
3,decision_tree,SEKER,0.9150485436893204,0.9285714285714286,0.921760391198044,406.0
3,decision_tree,SIRA,0.8259187620889749,0.8102466793168881,0.8180076628352491,527.0
3,logistic_regression,BARBUNYA,0.9254901960784314,0.8905660377358491,0.9076923076923077,265.0
3,logistic_regression,BOMBAY,1.0,1.0,1.0,104.0
3,logistic_regression,CALI,0.9109792284866469,0.941717791411043,0.9260935143288085,326.0
3,logistic_regression,DERMASON,0.9265129682997119,0.9069111424541608,0.9166072701354241,709.0
3,logistic_regression,HOROZ,0.9642857142857143,0.9435483870967742,0.9538043478260869,372.0
3,logistic_regression,SEKER,0.9296116504854369,0.9433497536945813,0.9364303178484108,406.0
3,logistic_regression,SIRA,0.858195211786372,0.8842504743833017,0.8710280373831776,527.0
3,mlp,BARBUNYA,0.9397590361445783,0.8830188679245283,0.9105058365758755,265.0
3,mlp,BOMBAY,1.0,0.9903846153846154,0.9951690821256038,104.0
3,mlp,CALI,0.9093567251461988,0.9539877300613497,0.9311377245508982,326.0
3,mlp,DERMASON,0.93,0.918194640338505,0.9240596167494677,709.0
3,mlp,HOROZ,0.962059620596206,0.9543010752688172,0.9581646423751687,372.0
3,mlp,SEKER,0.9390243902439024,0.9482758620689655,0.9436274509803921,406.0
3,mlp,SIRA,0.8731343283582089,0.888045540796964,0.8805268109125117,527.0
3,random_forest,BARBUNYA,0.9186046511627907,0.8943396226415095,0.9063097514340345,265.0
3,random_forest,BOMBAY,1.0,1.0,1.0,104.0
3,random_forest,CALI,0.9212121212121213,0.9325153374233128,0.926829268292683,326.0
3,random_forest,DERMASON,0.912621359223301,0.9280677009873061,0.9202797202797203,709.0
3,random_forest,HOROZ,0.9642857142857143,0.9435483870967742,0.9538043478260869,372.0
3,random_forest,SEKER,0.9349397590361446,0.9556650246305419,0.9451887941534713,406.0
3,random_forest,SIRA,0.8704061895551257,0.8538899430740038,0.8620689655172413,527.0
4,decision_tree,BARBUNYA,0.8984962406015038,0.9018867924528302,0.9001883239171374,265.0
4,decision_tree,BOMBAY,1.0,1.0,1.0,104.0
