comparison_type,method,model_name,display_name,sample_id,nearest_sample_id,selection_group,nearest_selection_group,true_class_name,nearest_true_class_name,feature_distance,same_selection_group,same_true_class,top_k_overlap,jaccard_similarity,rank_correlation,signed_cosine_similarity,abs_cosine_similarity
nearest_neighbor_explanation_stability,SHAP,mlp,MLP,3330,2883,barbunya_predicted_as_cali,barbunya_predicted_as_cali,BARBUNYA,BARBUNYA,2.3171245463429186,True,True,0.4,0.25,-0.17500000000000002,0.3717766282341078,0.3717766282341078
nearest_neighbor_explanation_stability,LIME,logistic_regression,Logistic Regression,3330,2883,barbunya_predicted_as_cali,barbunya_predicted_as_cali,BARBUNYA,BARBUNYA,2.3171245463429186,True,True,0.6,0.42857142857142855,0.6909090909090909,0.8588908002930193,0.8588908002930193
nearest_neighbor_explanation_stability,LIME,decision_tree,Decision Tree,3330,2883,barbunya_predicted_as_cali,barbunya_predicted_as_cali,BARBUNYA,BARBUNYA,2.3171245463429186,True,True,0.4,0.25,0.275,0.7971149571330218,0.7971149571330218
nearest_neighbor_explanation_stability,LIME,random_forest,Random Forest,3330,2883,barbunya_predicted_as_cali,barbunya_predicted_as_cali,BARBUNYA,BARBUNYA,2.3171245463429186,True,True,0.8,0.6666666666666666,0.08571428571428573,0.7436823369739912,0.7436823369739912
nearest_neighbor_explanation_stability,LIME,mlp,MLP,3330,2883,barbunya_predicted_as_cali,barbunya_predicted_as_cali,BARBUNYA,BARBUNYA,2.3171245463429186,True,True,0.6,0.42857142857142855,0.38181818181818183,0.6898700414770275,0.6898700414770275
nearest_neighbor_explanation_stability,SHAP,logistic_regression,Logistic Regression,3450,3330,correct_bombay,barbunya_predicted_as_cali,BOMBAY,BARBUNYA,5.205781809042825,False,False,0.4,0.25,-0.675,0.22813421735660402,0.22813421735660402
nearest_neighbor_explanation_stability,SHAP,decision_tree,Decision Tree,3450,3330,correct_bombay,barbunya_predicted_as_cali,BOMBAY,BARBUNYA,5.205781809042825,False,False,0.6,0.42857142857142855,-0.32727272727272727,0.4725831925906403,0.4725831925906403
nearest_neighbor_explanation_stability,SHAP,random_forest,Random Forest,3450,3330,correct_bombay,barbunya_predicted_as_cali,BOMBAY,BARBUNYA,5.205781809042825,False,False,0.4,0.25,-0.5,0.20450750406650753,0.20450750406650753
nearest_neighbor_explanation_stability,SHAP,mlp,MLP,3450,3330,correct_bombay,barbunya_predicted_as_cali,BOMBAY,BARBUNYA,5.205781809042825,False,False,0.4,0.25,-0.275,0.2021448954580044,0.38620740911924945
nearest_neighbor_explanation_stability,LIME,logistic_regression,Logistic Regression,3450,3330,correct_bombay,barbunya_predicted_as_cali,BOMBAY,BARBUNYA,5.205781809042825,False,False,0.4,0.25,-0.65,0.21119853105334893,0.21119853105334893
nearest_neighbor_explanation_stability,LIME,decision_tree,Decision Tree,3450,3330,correct_bombay,barbunya_predicted_as_cali,BOMBAY,BARBUNYA,5.205781809042825,False,False,0.8,0.6666666666666666,-0.08571428571428573,0.7229835783716173,0.7229835783716173
nearest_neighbor_explanation_stability,LIME,random_forest,Random Forest,3450,3330,correct_bombay,barbunya_predicted_as_cali,BOMBAY,BARBUNYA,5.205781809042825,False,False,0.8,0.6666666666666666,-0.48571428571428577,0.6242121440309107,0.6242121440309107
nearest_neighbor_explanation_stability,LIME,mlp,MLP,3450,3330,correct_bombay,barbunya_predicted_as_cali,BOMBAY,BARBUNYA,5.205781809042825,False,False,0.8,0.6666666666666666,-0.5428571428571429,0.3709640441661791,0.5706088987315834
nearest_neighbor_explanation_stability,SHAP,logistic_regression,Logistic Regression,3869,3450,correct_bombay,correct_bombay,BOMBAY,BOMBAY,7.570170883695574,True,True,1.0,1.0,0.8999999999999998,0.9944989174507103,0.9944989174507103
nearest_neighbor_explanation_stability,SHAP,decision_tree,Decision Tree,3869,3450,correct_bombay,correct_bombay,BOMBAY,BOMBAY,7.570170883695574,True,True,1.0,1.0,0.9999999999999999,0.9999999999999998,0.9999999999999998
nearest_neighbor_explanation_stability,SHAP,random_forest,Random Forest,3869,3450,correct_bombay,correct_bombay,BOMBAY,BOMBAY,7.570170883695574,True,True,1.0,1.0,0.8999999999999998,0.9997966293344599,0.9997966293344599
nearest_neighbor_explanation_stability,SHAP,mlp,MLP,3869,3450,correct_bombay,correct_bombay,BOMBAY,BOMBAY,7.570170883695574,True,True,0.8,0.6666666666666666,0.8285714285714287,0.9581602593723099,0.9581602593723099
nearest_neighbor_explanation_stability,LIME,logistic_regression,Logistic Regression,3869,3450,correct_bombay,correct_bombay,BOMBAY,BOMBAY,7.570170883695574,True,True,0.8,0.6666666666666666,0.8857142857142858,0.9400979838206545,0.9400979838206545
nearest_neighbor_explanation_stability,LIME,decision_tree,Decision Tree,3869,3450,correct_bombay,correct_bombay,BOMBAY,BOMBAY,7.570170883695574,True,True,0.6,0.42857142857142855,0.5636363636363636,0.919244512698847,0.919244512698847
nearest_neighbor_explanation_stability,LIME,random_forest,Random Forest,3869,3450,correct_bombay,correct_bombay,BOMBAY,BOMBAY,7.570170883695574,True,True,1.0,1.0,0.8999999999999998,0.9989716242947484,0.9989716242947484
nearest_neighbor_explanation_stability,LIME,mlp,MLP,3869,3450,correct_bombay,correct_bombay,BOMBAY,BOMBAY,7.570170883695574,True,True,1.0,1.0,0.8999999999999998,0.997206168563432,0.997206168563432
