comparison_type,method,model_a,model_b,model_pair,sample_id,row_index,selection_group,true_label,true_class_name,top_k_overlap,jaccard_similarity,rank_correlation,signed_cosine_similarity,abs_cosine_similarity
cross_model_same_method,SHAP,decision_tree,mlp,Decision Tree vs MLP,11538,2056,correct_dermason,3,DERMASON,0.4,0.25,-0.35000000000000003,0.25445977147614657,0.25445977147614657
cross_model_same_method,SHAP,random_forest,mlp,Random Forest vs MLP,11538,2056,correct_dermason,3,DERMASON,0.2,0.1111111111111111,-0.9090909090909091,0.08743881188121987,0.08743881188121987
cross_model_same_method,SHAP,logistic_regression,decision_tree,Logistic Regression vs Decision Tree,11678,1622,correct_dermason,3,DERMASON,0.8,0.6666666666666666,0.5428571428571429,0.8089763362751701,0.8089763362751701
cross_model_same_method,SHAP,logistic_regression,random_forest,Logistic Regression vs Random Forest,11678,1622,correct_dermason,3,DERMASON,0.8,0.6666666666666666,-0.7714285714285715,0.6397670421908366,0.6397670421908366
cross_model_same_method,SHAP,logistic_regression,mlp,Logistic Regression vs MLP,11678,1622,correct_dermason,3,DERMASON,0.6,0.42857142857142855,0.0,0.7134955589159366,0.7134955589159366
cross_model_same_method,SHAP,decision_tree,random_forest,Decision Tree vs Random Forest,11678,1622,correct_dermason,3,DERMASON,0.6,0.42857142857142855,-0.18181818181818182,0.5921443667788533,0.5921443667788533
cross_model_same_method,SHAP,decision_tree,mlp,Decision Tree vs MLP,11678,1622,correct_dermason,3,DERMASON,0.8,0.6666666666666666,-0.2,0.46726073321118583,0.53405718568562
cross_model_same_method,SHAP,random_forest,mlp,Random Forest vs MLP,11678,1622,correct_dermason,3,DERMASON,0.4,0.25,-0.75,0.22595999235304365,0.22595999235304365
cross_model_same_method,SHAP,logistic_regression,decision_tree,Logistic Regression vs Decision Tree,12185,322,correct_dermason,3,DERMASON,0.8,0.6666666666666666,-0.028571428571428574,0.6167480781492228,0.6167480781492228
cross_model_same_method,SHAP,logistic_regression,random_forest,Logistic Regression vs Random Forest,12185,322,correct_dermason,3,DERMASON,0.8,0.6666666666666666,-0.942857142857143,0.5190386049044347,0.5190386049044347
cross_model_same_method,SHAP,logistic_regression,mlp,Logistic Regression vs MLP,12185,322,correct_dermason,3,DERMASON,0.6,0.42857142857142855,0.5636363636363636,0.8388597728779161,0.8388597728779161
cross_model_same_method,SHAP,decision_tree,random_forest,Decision Tree vs Random Forest,12185,322,correct_dermason,3,DERMASON,0.6,0.42857142857142855,0.07272727272727272,0.5848588352604023,0.5848588352604023
cross_model_same_method,SHAP,decision_tree,mlp,Decision Tree vs MLP,12185,322,correct_dermason,3,DERMASON,0.6,0.42857142857142855,0.2181818181818182,0.5287818478544748,0.5287818478544748
cross_model_same_method,SHAP,random_forest,mlp,Random Forest vs MLP,12185,322,correct_dermason,3,DERMASON,0.4,0.25,-0.475,0.22551506602723004,0.22551506602723004
cross_model_same_method,SHAP,logistic_regression,decision_tree,Logistic Regression vs Decision Tree,12237,1552,correct_dermason,3,DERMASON,0.8,0.6666666666666666,0.4285714285714286,0.7643272711709477,0.7643272711709477
cross_model_same_method,SHAP,logistic_regression,random_forest,Logistic Regression vs Random Forest,12237,1552,correct_dermason,3,DERMASON,0.8,0.6666666666666666,-0.2571428571428572,0.7531555113574488,0.7531555113574488
cross_model_same_method,SHAP,logistic_regression,mlp,Logistic Regression vs MLP,12237,1552,correct_dermason,3,DERMASON,0.4,0.25,-0.55,0.35810663042193047,0.35810663042193047
cross_model_same_method,SHAP,decision_tree,random_forest,Decision Tree vs Random Forest,12237,1552,correct_dermason,3,DERMASON,0.6,0.42857142857142855,0.2,0.683622656006778,0.683622656006778
cross_model_same_method,SHAP,decision_tree,mlp,Decision Tree vs MLP,12237,1552,correct_dermason,3,DERMASON,0.4,0.25,-0.7000000000000001,0.16373307978036356,0.16373307978036356
cross_model_same_method,SHAP,random_forest,mlp,Random Forest vs MLP,12237,1552,correct_dermason,3,DERMASON,0.4,0.25,-0.675,0.3236817934534287,0.3236817934534287
cross_model_same_method,SHAP,logistic_regression,decision_tree,Logistic Regression vs Decision Tree,12383,386,correct_dermason,3,DERMASON,0.8,0.6666666666666666,0.4285714285714286,0.8509522229129519,0.8509522229129519
cross_model_same_method,SHAP,logistic_regression,random_forest,Logistic Regression vs Random Forest,12383,386,correct_dermason,3,DERMASON,0.6,0.42857142857142855,0.2181818181818182,0.6606025876893477,0.6606025876893477
