comparison_type,method,model_name,display_name,selection_group,sample_id_a,sample_id_b,row_index_a,row_index_b,true_class_name_a,true_class_name_b,top_k_overlap,jaccard_similarity,rank_correlation,signed_cosine_similarity,abs_cosine_similarity
within_selection_group,SHAP,logistic_regression,Logistic Regression,dermason_predicted_as_sira,13322,13457,1696,2148,DERMASON,DERMASON,0.8,0.6666666666666666,0.942857142857143,0.9079546710491442,0.9079546710491442
within_selection_group,SHAP,logistic_regression,Logistic Regression,dermason_predicted_as_sira,13322,13499,1696,182,DERMASON,DERMASON,0.8,0.6666666666666666,0.8285714285714287,0.891817459032605,0.891817459032605
within_selection_group,SHAP,logistic_regression,Logistic Regression,dermason_predicted_as_sira,13322,13514,1696,54,DERMASON,DERMASON,0.8,0.6666666666666666,0.8285714285714287,0.8710936547044659,0.8710936547044659
within_selection_group,SHAP,logistic_regression,Logistic Regression,dermason_predicted_as_sira,13372,13381,2326,1676,DERMASON,DERMASON,0.6,0.42857142857142855,0.1090909090909091,0.6719720697610451,0.6719720697610451
within_selection_group,SHAP,logistic_regression,Logistic Regression,dermason_predicted_as_sira,13372,13395,2326,1719,DERMASON,DERMASON,0.6,0.42857142857142855,0.1090909090909091,0.6717800004662429,0.6717800004662429
within_selection_group,SHAP,logistic_regression,Logistic Regression,dermason_predicted_as_sira,13372,13448,2326,2291,DERMASON,DERMASON,0.6,0.42857142857142855,0.1090909090909091,0.6956846352201531,0.6956846352201531
within_selection_group,SHAP,logistic_regression,Logistic Regression,dermason_predicted_as_sira,13372,13457,2326,2148,DERMASON,DERMASON,0.6,0.42857142857142855,0.1090909090909091,0.6935193444575457,0.6935193444575457
within_selection_group,SHAP,logistic_regression,Logistic Regression,dermason_predicted_as_sira,13372,13499,2326,182,DERMASON,DERMASON,0.6,0.42857142857142855,0.1090909090909091,0.6876511893120366,0.6876511893120366
within_selection_group,SHAP,logistic_regression,Logistic Regression,dermason_predicted_as_sira,13372,13514,2326,54,DERMASON,DERMASON,1.0,1.0,0.19999999999999998,0.9937130163052448,0.9937130163052448
within_selection_group,SHAP,logistic_regression,Logistic Regression,dermason_predicted_as_sira,13381,13395,1676,1719,DERMASON,DERMASON,0.8,0.6666666666666666,0.8285714285714287,0.8655176452201271,0.8655176452201271
within_selection_group,SHAP,logistic_regression,Logistic Regression,dermason_predicted_as_sira,13381,13448,1676,2291,DERMASON,DERMASON,0.8,0.6666666666666666,0.8285714285714287,0.8788752802066865,0.8788752802066865
within_selection_group,SHAP,logistic_regression,Logistic Regression,dermason_predicted_as_sira,13381,13457,1676,2148,DERMASON,DERMASON,0.8,0.6666666666666666,0.8285714285714287,0.8794382139482761,0.8794382139482761
within_selection_group,SHAP,logistic_regression,Logistic Regression,dermason_predicted_as_sira,13381,13499,1676,182,DERMASON,DERMASON,1.0,1.0,0.9999999999999999,0.9981677790578174,0.9981677790578174
within_selection_group,SHAP,logistic_regression,Logistic Regression,dermason_predicted_as_sira,13381,13514,1676,54,DERMASON,DERMASON,0.6,0.42857142857142855,0.6909090909090909,0.7222387424241747,0.7222387424241747
within_selection_group,SHAP,logistic_regression,Logistic Regression,dermason_predicted_as_sira,13395,13448,1719,2291,DERMASON,DERMASON,0.8,0.6666666666666666,0.942857142857143,0.8980722542413135,0.8980722542413135
