method,model_name,display_name,selection_group,mean_top_k_overlap,mean_jaccard_similarity,mean_rank_correlation,mean_signed_cosine_similarity,mean_abs_cosine_similarity,n_pairs
SHAP,mlp,MLP,correct_bombay,0.8,0.6666666666666666,0.8285714285714287,0.9581602593723099,0.9581602593723099,1
SHAP,mlp,MLP,correct_dermason,0.5,0.34637188208616776,-0.03813775510204082,0.6181020446970107,0.6181020446970107,28
SHAP,mlp,MLP,correct_sira,0.5619047619047619,0.4077853363567649,0.23498763141620285,0.6563104279552798,0.6563104279552798,21
SHAP,mlp,MLP,dermason_predicted_as_sira,0.4133333333333334,0.2775132275132275,-0.3089983579638752,0.42446389788734346,0.4325413767173851,45
SHAP,mlp,MLP,sira_predicted_as_dermason,0.3619047619047619,0.2534013605442177,-0.4238511078412556,0.32834001495233134,0.32834001495233134,21
SHAP,random_forest,Random Forest,barbunya_predicted_as_cali,0.6533333333333334,0.5,0.13036796536796535,0.43233638638831423,0.6232684178066623,15
SHAP,random_forest,Random Forest,correct_bombay,1.0,1.0,0.8999999999999998,0.9997966293344599,0.9997966293344599,1
SHAP,random_forest,Random Forest,correct_dermason,0.8285714285714285,0.7210884353741497,0.7276901669758813,0.8830941760406926,0.8830941760406926,28
SHAP,random_forest,Random Forest,correct_sira,0.5714285714285714,0.44595616024187457,0.06706864564007423,0.5980383944795671,0.5980383944795671,21
SHAP,random_forest,Random Forest,dermason_predicted_as_sira,0.5511111111111111,0.3977072310405643,-0.1611976911976912,0.5419348891324142,0.5419348891324142,45
SHAP,random_forest,Random Forest,sira_predicted_as_dermason,0.5238095238095238,0.37925170068027214,-0.30820964749536184,0.39917764699322145,0.47631805756261525,21
